Tool,N threads,size,repetitions,usec
Pthreads,1,50000,2000,208761
Pthreads,1,50000,2000,209764
Pthreads,1,50000,2000,209123
Pthreads,1,50000,2000,209898
Pthreads,1,50000,2000,209755
Pthreads,1,50000,2000,204363
Pthreads,1,50000,2000,205834
Pthreads,1,50000,2000,205445
Pthreads,1,50000,2000,203876
Pthreads,1,50000,2000,204518
Pthreads,1,50000,2000,210234
Pthreads,1,50000,2000,204956
Pthreads,1,50000,2000,210509
Pthreads,1,50000,2000,204196
Pthreads,1,50000,2000,209310
Pthreads,1,50000,2000,203562
Pthreads,2,50000,1000,103429
Pthreads,2,50000,1000,103285
Pthreads,2,50000,1000,102897
Pthreads,2,50000,1000,103031
Pthreads,2,50000,1000,102920
Pthreads,2,50000,1000,102944
Pthreads,2,50000,1000,102915
Pthreads,2,50000,1000,102900
Pthreads,2,50000,1000,103030
Pthreads,2,50000,1000,102873
Pthreads,2,50000,1000,103281
Pthreads,2,50000,1000,102936
Pthreads,2,50000,1000,102928
Pthreads,2,50000,1000,102899
Pthreads,2,50000,1000,103133
Pthreads,2,50000,1000,102874
Pthreads,2,50000,1000,102922
Pthreads,2,50000,1000,103769
Pthreads,2,50000,1000,102946
Pthreads,2,50000,1000,103120
Pthreads,4,50000,500,60053
Pthreads,4,50000,500,65844
Pthreads,4,50000,500,62014
Pthreads,4,50000,500,63370
Pthreads,4,50000,500,60393
Pthreads,4,50000,500,61074
Pthreads,4,50000,500,61016
Pthreads,4,50000,500,61820
Pthreads,4,50000,500,62121
Pthreads,4,50000,500,64434
Pthreads,4,50000,500,61287
Pthreads,4,50000,500,61342
Pthreads,4,50000,500,62787
Pthreads,4,50000,500,61196
Pthreads,4,50000,500,66995
Pthreads,4,50000,500,66741
Pthreads,4,50000,500,60037
Pthreads,8,50000,250,42798
Pthreads,8,50000,250,45587
Pthreads,8,50000,250,41746
Pthreads,8,50000,250,42657
Pthreads,8,50000,250,44512
Pthreads,8,50000,250,42876
Pthreads,8,50000,250,41482
Pthreads,8,50000,250,42001
Pthreads,8,50000,250,42584
Pthreads,8,50000,250,44239
Pthreads,8,50000,250,45080
Pthreads,8,50000,250,43085
Pthreads,8,50000,250,42348
Pthreads,8,50000,250,42159
Pthreads,8,50000,250,43218
Pthreads,8,50000,250,40192
Pthreads,8,50000,250,46966
